AGI_identifier	gene_name	gene_annotation
AT1G04580	AT1G04580:AAO4	AAO4:aldehyde oxidase 4;AO4:aldehyde oxidase 4;ATAO-4:arabdopsis thaliana aldehyde oxidase 4;ATAO2:ALDEHYDE OXIDASE 2
AT1G04590	AT1G04590	NA
AT1G04600	AT1G04600:XI-A	ATXIA;XIA:myosin XI A
AT1G04610	AT1G04610:YUC3	YUC3:YUCCA 3
AT1G04620	AT1G04620:HCAR	HCAR:7-hydroxymethyl chlorophyll a (HMChl) reductase
AT1G04625	AT1G04625	NA
AT1G04630	AT1G04630:MEE4	MEE4:maternal effect embryo arrest 4
AT1G04635	AT1G04635:EMB1687	AtPOP5;EMB1687:EMBRYO DEFECTIVE 1687;POP5:A. thaliana homolog of yeast POP5
AT1G04640	AT1G04640:LIP2	LIP2:lipoyltransferase 2
AT1G04645	AT1G04645	NA
AT1G04650	AT1G04650	NA
AT1G04660	AT1G04660	NA
AT1G04670	AT1G04670	NA
AT1G04680	AT1G04680	NA
AT1G04684	AT1G04684	NA
AT1G04690	AT1G04690:KAB1	KAB1:potassium channel beta subunit 1;KV-BETA1
AT1G04700	AT1G04700	NA
AT1G04710	AT1G04710:KAT1	KAT1:3-KETO-ACYL-COA THIOLASE 1;PKT4:peroxisomal 3-ketoacyl-CoA thiolase  4
AT1G04730	AT1G04730:CTF18	CTF18:CHROMOSOME TRANSMISSION FIDELITY 18
AT1G04750	AT1G04750:VAMP721	AT VAMP7B;ATVAMP721;VAMP721:vesicle-associated membrane protein 721;VAMP7B:VESICLE-ASSOCIATED MEMBRANE PROTEIN 7B
AT1G04760	AT1G04760:VAMP726	ATVAMP726:vesicle-associated membrane protein 726;VAMP726:vesicle-associated membrane protein 726
AT1G04770	AT1G04770	NA
AT1G04778	AT1G04778	NA
AT1G04780	AT1G04780	NA
AT1G04790	AT1G04790	NA
AT1G04800	AT1G04800	NA
AT1G04810	AT1G04810:RPN2B	NA
AT1G04820	AT1G04820:TUBA4	TOR2:TORTIFOLIA 2;TUA4:tubulin alpha-4 chain
AT1G04830	AT1G04830	NA
AT1G04840	AT1G04840:PCMP-H64	NA
AT1G04850	AT1G04850	NA
AT1G04860	AT1G04860:UBP2	ATUBP2;UBP2:ubiquitin-specific protease 2
AT1G04870	AT1G04870:PRMT10	ATPRMT10;PRMT10:protein arginine methyltransferase 10
AT1G04880	AT1G04880:HMGB15	NA
AT1G04890	AT1G04890	NA
AT1G04900	AT1G04900	NA
AT1G04910	AT1G04910	NA
AT1G04920	AT1G04920:SPS3	ATSPS3F:sucrose phosphate synthase 3F;SPS3F:sucrose phosphate synthase 3F
AT1G04930	AT1G04930	NA
AT1G04945	AT1G04945	NA
AT1G04940	AT1G04940:TIC20-I	atTIC20:translocon at the inner envelope membrane of chloroplasts 20;AtTic20-I:translocon at the inner envelope membrane of chloroplasts 20-I;TIC20:translocon at the inner envelope membrane of chloroplasts 20;Tic20-I:translocon at the inner envelope membrane of chloroplasts 20-I
AT1G04950	AT1G04950:TAF6	ATTAF6;EMB2781:EMBRYO DEFECTIVE 2781;TAF6:TBP-associated factor 6;TAFII59:TATA BOX ASSOCIATED FACTOR II 59
AT1G04960	AT1G04960	NA
AT1G04970	AT1G04970	NA
AT1G04980	AT1G04980:PDIL2-2	ATPDI10:ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 10;ATPDIL2-2:PDI-like 2-2;PDI10:PROTEIN DISULFIDE ISOMERASE;PDIL2-2:PDI-like 2-2
AT1G04985	AT1G04985	NA
AT1G04990	AT1G04990	NA
AT1G05000	AT1G05000	AtPFA-DSP1;PFA-DSP1:plant and fungi atypical dual-speci&#64257;city phosphatase 1
AT1G05010	AT1G05010:ACO4	ACO4:ethylene forming enzyme;EAT1;EFE:ethylene-forming enzyme
AT1G05020	AT1G05020:AP180	NA
AT1G05030	AT1G05030	NA
AT1G05040	AT1G05040	NA
AT1G05055	AT1G05055:ATGTF2H2	ATGTF2H2;GTF2H2:general transcription factor II H2
AT1G05060	AT1G05060	NA
AT1G05065	AT1G05065:CLE20	CLE20:CLAVATA3/ESR-RELATED 20
AT1G05070	AT1G05070	NA
AT1G05080	AT1G05080	NA
AT1G05085	AT1G05085	NA
AT1G05090	AT1G05090	NA
AT1G05100	AT1G05100:MAPKKK18	MAPKKK18:mitogen-activated protein kinase kinase kinase 18
AT1G05120	AT1G05120	NA
AT1G05136	AT1G05136	NA
AT1G05140	AT1G05140:ARASP2	NA
AT1G05150	AT1G05150	NA
AT1G05160	AT1G05160:KAO1	"ATKAO1;CYP88A3:""cytochrome P450, family 88, subfamily A, polypeptide 3"";KAO1:ENT-KAURENOIC ACID OXYDASE 1"
AT1G05170	AT1G05170:B3GALT2	NA
AT1G05180	AT1G05180:AXR1	AXR1:AUXIN RESISTANT 1
AT1G05190	AT1G05190:RPL6	emb2394:embryo defective 2394
AT1G05200	AT1G05200:GLR3.4	ATGLR3.4:glutamate receptor 3.4;GLR3.4:glutamate receptor 3.4;GLUR3
AT1G05205	AT1G05205	NA
AT1G05210	AT1G05210	NA
AT1G05220	AT1G05220	NA
AT1G05230	AT1G05230:HDG2	HDG2:homeodomain GLABROUS 2
AT1G05240	AT1G05240:PER1	NA
AT1G05250	AT1G05250:PER1	AtPRX1;PRX2:peroxidase 2
AT1G05260	AT1G05260:PER3	RCI3:RARE COLD INDUCIBLE GENE 3;RCI3A
AT1G05270	AT1G05270	NA
AT1G05280	AT1G05280	NA
AT1G05290	AT1G05290	NA
AT1G05291	AT1G05291	NA
AT1G05300	AT1G05300:ZIP5	ZIP5:zinc transporter 5 precursor
AT1G05310	AT1G05310:PME8	NA
AT1G05320	AT1G05320	NA
AT1G05330	AT1G05330	NA
AT1G05340	AT1G05340	NA
AT1G05350	AT1G05350	NA
AT1G05360	AT1G05360:KMS2	KMS2:Killing Me Slowly 2
AT1G05370	AT1G05370	NA
AT1G05380	AT1G05380	NA
AT1G05385	AT1G05385:PSB27-2	LPA19:LOW PSII ACCUMULATION 19;Psb27-H1
AT1G05400	AT1G05400	NA
AT1G05410	AT1G05410	NA
AT1G05420	AT1G05420:OFP12	ATOFP12:ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 12;OFP12:ovate family protein 12
AT1G05430	AT1G05430	NA
AT1G05440	AT1G05440	NA
AT1G05450	AT1G05450	NA
AT1G05460	AT1G05460:SDE3	SDE3:SILENCING DEFECTIVE
AT1G05470	AT1G05470:CVP2	CVP2:COTYLEDON VASCULAR PATTERN 2
AT1G05490	AT1G05490:CLSY3	chr31:chromatin remodeling 31
AT1G05500	AT1G05500:SYT5	ATSYTE:ARABIDOPSIS THALIANA SYNAPTOTAGMIN HOMOLOG E;NTMC2T2.1;NTMC2TYPE2.1;SYT5:synaptotagmin 5;SYTE:SYNAPTOTAGMIN HOMOLOG E
AT1G05510	AT1G05510	NA
AT1G05520	AT1G05520	NA
AT1G05530	AT1G05530:UGT75B2	UGT2:UDP-GLUCOSYL TRANSFERASE 2;UGT75B2:UDP-glucosyl transferase 75B2
AT1G05540	AT1G05540	NA
AT1G05550	AT1G05550	NA
AT1G05560	AT1G05560:UGT75B1	UGT1:UDP-GLUCOSE TRANSFERASE 1;UGT75B1:UDP-glucosyltransferase 75B1
AT1G05570	AT1G05570:CALS1	ATGSL06;ATGSL6;CALS1:callose synthase 1;GSL06;GSL6:GLUCAN SYNTHASE-LIKE 6
AT1G05575	AT1G05575	NA
AT1G05577	AT1G05577	NA
AT1G05580	AT1G05580:CHX23	ATCHX23:cation/H+ exchanger 23;CHX23:cation/H+ exchanger 23
AT1G05590	AT1G05590:HEXO2	ATHEX3:BETA-HEXOSAMINIDASE 3;HEXO2:beta-hexosaminidase 2
AT1G05600	AT1G05600	EMB3101:EMBRYO DEFECTIVE 3101
AT1G05610	AT1G05610:APS2	APS2:ADP-glucose pyrophosphorylase small subunit 2
AT1G05615	AT1G05615	NA
AT1G05620	AT1G05620:URH2	NSH2:nucleoside hydrolase 2;URH2:uridine-ribohydrolase  2
AT1G05630	AT1G05630:5PTASE13	5PTASE13:inositol-polyphosphate 5-phosphatase 13;AT5PTASE13:Arabidopsis thaliana inositol-polyphosphate 5-phosphatase 13
AT1G05640	AT1G05640	NA
AT1G05650	AT1G05650	NA
AT1G05660	AT1G05660	NA
AT1G05670	AT1G05670	NA
AT1G05675	AT1G05675:UGT74E1	NA
AT1G05680	AT1G05680:UGT74E2	UGT74E2:Uridine diphosphate glycosyltransferase 74E2
AT1G05690	AT1G05690:BT3	BT3:BTB and TAZ domain protein 3
AT1G05700	AT1G05700	NA
AT1G05710	AT1G05710	NA
AT1G05720	AT1G05720	NA
AT1G05730	AT1G05730	NA
AT1G05740	AT1G05740	NA
AT1G05750	AT1G05750:PDE247	CLB19;PDE247:pigment defective 247
AT1G05760	AT1G05760:RTM1	RTM1:restricted tev movement 1
AT1G05770	AT1G05770:JAL2	NA
AT1G05780	AT1G05780	NA
AT1G05785	AT1G05785	NA
AT1G05790	AT1G05790	NA
AT1G05800	AT1G05800:DGL	DGL:DONGLE
AT1G05805	AT1G05805:BHLH128	NA
AT1G05810	AT1G05810:ARA	ARA;ARA-1;ATRAB11D;ATRABA5E:ARABIDOPSIS THALIANA RAB GTPASE HOMOLOG A5E;RABA5E:RAB GTPase homolog A5E
AT1G05820	AT1G05820:SPPL5	ATSPPL5:ARABIDOPSIS THALIANA SIGNAL PEPTIDE PEPTIDASE-LIKE 5;SPPL5:SIGNAL PEPTIDE PEPTIDASE-LIKE 5
AT1G05830	AT1G05830:ATX2	ATX2:trithorax-like protein 2;SDG30:SET DOMAIN PROTEIN 30
AT1G05835	AT1G05835	NA
AT1G05840	AT1G05840	NA
AT1G05850	AT1G05850:CTL1	ATCTL1;CTL1:CHITINASE-LIKE PROTEIN 1;ELP:ECTOPIC DEPOSITION OF LIGNIN IN PITH;ELP1:ECTOPIC DEPOSITION OF LIGNIN IN PITH 1;ERH2:ECTOPIC ROOT HAIR 2;HOT2:SENSITIVE TO HOT TEMPERATURES 2;POM1:POM-POM1
AT1G05860	AT1G05860	NA
AT1G05870	AT1G05870	NA
AT1G05880	AT1G05880:ARI12	ARI12:ARIADNE 12;ATARI12:ARABIDOPSIS ARIADNE 12
AT1G05890	AT1G05890:ARI5	ARI5:ARIADNE 5;ATARI5:ARABIDOPSIS ARIADNE 5
AT1G05894	AT1G05894	NA
AT1G05900	AT1G05900:NTH2	ATNTH2;NTH2:endonuclease III 2
AT1G05910	AT1G05910	NA
AT1G05920	AT1G05920	NA
AT1G05925	AT1G05925	NA
AT1G05930	AT1G05930	NA
AT1G05940	AT1G05940:CAT9	CAT9:cationic amino acid transporter 9
AT1G05950	AT1G05950	NA
AT1G05960	AT1G05960	NA
AT1G05970	AT1G05970	NA
AT1G05990	AT1G05990:CML7	RHS1:ROOT HAIR SPECIFIC 1
AT1G06000	AT1G06000:UGT89C1	NA
AT1G06010	AT1G06010	NA
AT1G06020	AT1G06020	NA
AT1G06030	AT1G06030	NA
AT1G06040	AT1G06040:BBX24	BBX24:B-box domain protein 24;STO:SALT TOLERANCE
AT1G06050	AT1G06050	NA
AT1G06060	AT1G06060	NA
AT1G06070	AT1G06070	NA
AT1G06080	AT1G06080:ADS1	ADS1:delta 9 desaturase 1;AtADS1
AT1G06090	AT1G06090	NA
AT1G06100	AT1G06100	NA
AT1G06110	AT1G06110:SKIP16	SKIP16:SKP1/ASK-interacting protein 16
AT1G06120	AT1G06120	NA
AT1G06130	AT1G06130:GLX2-4	GLX2-4:glyoxalase 2-4
AT1G06135	AT1G06135	NA
AT1G06137	AT1G06137	NA
AT1G06140	AT1G06140:PCMP-E61	MEF3:mitochondrial editing factor 3
AT1G06150	AT1G06150:EMB1444	EMB1444:EMBRYO DEFECTIVE 1444
AT1G06149	AT1G06149:CPuORF8	CPuORF8:conserved peptide upstream open reading frame 8
AT1G06148	AT1G06148	NA
AT1G06160	AT1G06160:ERF094	ORA59:octadecanoid-responsive Arabidopsis AP2/ERF 59
AT1G06170	AT1G06170:BHLH89	NA
AT1G06180	AT1G06180:ATMYB13	ATMYB13:myb domain protein 13;ATMYBLFGN;MYB13:myb domain protein 13
AT1G06190	AT1G06190:RHON1	RHON1:Rho-N 1
AT1G06200	AT1G06200	NA
AT1G06210	AT1G06210	NA
AT1G06220	AT1G06220:MEE5	CLO:CLOTHO;GFA1:GAMETOPHYTE FACTOR 1;MEE5:MATERNAL EFFECT EMBRYO ARREST 5
AT1G06225	AT1G06225:CLE3	CLE3:CLAVATA3/ESR-RELATED 3
AT1G06230	AT1G06230:GTE4	GTE4:global transcription factor group E4
AT1G06240	AT1G06240	NA
AT1G06250	AT1G06250	NA
AT1G06260	AT1G06260	NA
AT1G06270	AT1G06270	NA
AT1G06280	AT1G06280:LBD2	LBD2:LOB domain-containing protein 2
AT1G06290	AT1G06290:ACX3	ACX3:acyl-CoA oxidase 3;ATACX3
AT1G06310	AT1G06310:ACX3.2	ACX6:acyl-CoA oxidase 6
AT1G06320	AT1G06320	NA
AT1G06330	AT1G06330	NA
AT1G06340	AT1G06340	NA
AT1G06350	AT1G06350	ADS4:delta 9 desaturase 4;AtADS4
AT1G06360	AT1G06360	NA
AT1G06380	AT1G06380	NA
AT1G06390	AT1G06390:ASK9	ATGSK1;ATSK2-3:A. THALIANA SHAGGY-LIKE KINASE GROUP 2 3;ATSK22:SHAGGY-LIKE PROTEIN KINASE 22;BIL2:BIN2-LIKE 2;GSK1:GSK3/SHAGGY-like protein kinase 1;SK22:SHAGGY-LIKE PROTEIN KINASE 22
AT1G06400	AT1G06400:RABA1A	ARA-2;ARA2;ATRAB11E;ATRABA1A:ARABIDOPSIS THALIANA RAB GTPASE HOMOLOG A1A
AT1G06410	AT1G06410:TPS7	ATTPS7:trehalose-phosphatase/synthase 7;ATTPSA;TPS7:TREHALOSE -6-PHOSPHATASE SYNTHASE S7;TPS7:trehalose-phosphatase/synthase 7
AT1G06420	AT1G06420	NA
AT1G06430	AT1G06430:FTSH8	FTSH8:FTSH protease 8
AT1G06440	AT1G06440	NA
AT1G06450	AT1G06450:CAF1-1	NA
AT1G06460	AT1G06460:ACD32.1	ACD31.2:ALPHA-CRYSTALLIN DOMAIN 31.2;ACD32.1:alpha-crystallin domain 32.1
AT1G06470	AT1G06470	NA
AT1G06475	AT1G06475	NA
AT1G06490	AT1G06490:CALS7	ATGSL07:Arabidopsis thaliana glucan synthase-like 7;atgsl7;CalS7:callose synthase 7;gsl07;GSL07:glucan synthase-like 7;GSL7:glucan synthase-like 7
AT1G06500	AT1G06500	NA
AT1G06515	AT1G06515	NA
AT1G06510	AT1G06510	NA
AT1G06520	AT1G06520:GPAT1	ATGPAT1:GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 1;GPAT1:GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 1;sn-2-GPAT1:GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 1
AT1G06530	AT1G06530:PMD2	PMD2:peroxisomal and mitochondrial division factor 2
AT1G06540	AT1G06540	NA
AT1G06550	AT1G06550	NA
AT1G06560	AT1G06560	NA
AT1G06570	AT1G06570:PDS1	HPD:4-hydroxyphenylpyruvate dioxygenase;HPPD:4-hydroxyphenylpyruvate dioxygenase;PDS1:phytoene desaturation 1
AT1G06580	AT1G06580	NA
AT1G06590	AT1G06590:APC5	NA
AT1G06620	AT1G06620	NA
AT1G06630	AT1G06630	NA
AT1G06640	AT1G06640	NA
AT1G06645	AT1G06645	NA
AT1G06650	AT1G06650	NA
AT1G06660	AT1G06660:JASON	JASON:JASON
AT1G06670	AT1G06670:NIH	NIH:nuclear DEIH-boxhelicase
AT1G06680	AT1G06680:PSBP1	OE23:OXYGEN EVOLVING COMPLEX SUBUNIT 23 KDA;OEE2:OXYGEN-EVOLVING ENHANCER PROTEIN 2;PSBP-1:photosystem II subunit P-1;PSII-P:PHOTOSYSTEM II SUBUNIT P
AT1G06690	AT1G06690	NA
AT1G06700	AT1G06700:PTI11	NA
AT1G06710	AT1G06710	MTSF1:mitochondrial stability factor 1
AT1G06720	AT1G06720	NA
AT1G06730	AT1G06730	NA
AT1G06750	AT1G06750	NA
AT1G06760	AT1G06760	NA
AT1G06770	AT1G06770:DRIP1	DRIP1:DREB2A-interacting protein 1
AT1G06780	AT1G06780:GAUT6	GAUT6:galacturonosyltransferase 6
AT1G06790	AT1G06790	NA
AT1G06800	AT1G06800:PLA-I{gamma}1	PLA-I{gamma}1:phospholipase A I gamma 1
AT1G06810	AT1G06810	NA
AT1G06820	AT1G06820:CRTISO	CCR2:CAROTENOID AND CHLOROPLAST REGULATION 2;CRTISO:carotenoid isomerase
AT1G06830	AT1G06830:GRXS11	NA
AT1G06840	AT1G06840	NA
AT1G06850	AT1G06850:AtbZIP52	AtbZIP52:basic leucine-zipper 52;bZIP52:basic leucine-zipper 52
AT1G06870	AT1G06870:TPP2	Plsp2A:plastidic type I signal peptidase 2A
AT1G06890	AT1G06890	NA
AT1G06900	AT1G06900	NA
AT1G06910	AT1G06910:TRFL7	TRFL7:TRF-like 7
AT1G06920	AT1G06920:OFP4	ATOFP4:ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 4;OFP4:ovate family protein 4
AT1G06923	AT1G06923	NA
AT1G06925	AT1G06925	NA
AT1G06930	AT1G06930	NA
AT1G06950	AT1G06950:TIC110	ATTIC110:ARABIDOPSIS THALIANA TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 110;TIC110:translocon at the inner envelope membrane of chloroplasts 110
AT1G06960	AT1G06960	NA
AT1G06970	AT1G06970:CHX14	ATCHX14;CHX14:cation/hydrogen exchanger 14
AT1G06980	AT1G06980	NA
AT1G06990	AT1G06990	NA
AT1G07000	AT1G07000:ATEXO70B2	ATEXO70B2:exocyst subunit exo70 family protein B2;EXO70B2:exocyst subunit exo70 family protein B2
AT1G07010	AT1G07010	AtSLP1;SLP1:Shewenella-like protein phosphatase 1
AT1G07020	AT1G07020	NA
AT1G07025	AT1G07025	NA
AT1G07030	AT1G07030	NA
AT1G07040	AT1G07040	NA
AT1G07050	AT1G07050	NA
AT1G07060	AT1G07060	ATDFO;DFO:DSB formation
AT1G07070	AT1G07070:RPL35AA	NA
AT1G07080	AT1G07080	NA
AT1G07090	AT1G07090:LSH6	LSH6:LIGHT SENSITIVE HYPOCOTYLS 6
AT1G07110	AT1G07110:FKFBP	"ATF2KP;F2KP:""fructose-2,6-bisphosphatase"";FKFBP"
AT1G07120	AT1G07120	NA
AT1G07130	AT1G07130:STN1	ATSTN1;STN1
AT1G07135	AT1G07135	NA
AT1G07140	AT1G07140:RANBP1A	SIRANBP
AT1G07150	AT1G07150:MAPKKK13	MAPKKK13:mitogen-activated protein kinase kinase kinase 13
AT1G07160	AT1G07160	NA
AT1G07170	AT1G07170	NA
AT1G07175	AT1G07175	NA
AT1G07180	AT1G07180:NDA1	ATNDI1:ARABIDOPSIS THALIANA INTERNAL NON-PHOSPHORYLATING NAD ( P ) H DEHYDROGENASE;NDA1:alternative  NAD(P)H dehydrogenase 1
AT1G07190	AT1G07190	NA
AT1G07200	AT1G07200	SMXL6:SMAX1-like 6
AT1G07210	AT1G07210	NA
AT1G07220	AT1G07220	NA
AT1G07230	AT1G07230:NPC1	NPC1:non-specific phospholipase C1
AT1G07240	AT1G07240:UGT71C5	UGT71C5:UDP-glucosyl transferase 71C5
AT1G07250	AT1G07250:UGT71C4	UGT71C4:UDP-glucosyl transferase 71C4
AT1G07260	AT1G07260:UGT71C3	UGT71C3:UDP-glucosyl transferase 71C3
AT1G07270	AT1G07270:CDC6B	NA
AT1G07280	AT1G07280	NA
AT1G07290	AT1G07290:GONST2	GONST2:golgi nucleotide sugar transporter 2
AT1G07300	AT1G07300	NA
AT1G07310	AT1G07310	NA
AT1G07320	AT1G07320:RPL4	EMB2784:EMBRYO DEFECTIVE 2784;PRPL4:plastid ribosomal protein L4;RPL4:ribosomal protein L4
AT1G07330	AT1G07330	NA
AT1G07340	AT1G07340:STP2	ATSTP2:sugar transporter 2;STP2:sugar transporter 2
AT1G07350	AT1G07350:SR45A	SR45a:serine/arginine rich-like protein 45a
AT1G07360	AT1G07360	MAC5A:MOS4-associated complex subunit 5A
AT1G07370	AT1G07370:PCNA	ATPCNA1:PROLIFERATING CELLULAR NUCLEAR ANTIGEN 1;PCNA1:proliferating cellular nuclear antigen 1
AT1G07380	AT1G07380	NA
AT1G07390	AT1G07390:AtRLP1	AtRLP1:receptor like protein 1;RLP1:receptor like protein 1
AT1G07400	AT1G07400:HSP17.8	NA
AT1G07410	AT1G07410:RABA2B	ATRAB-A2B:ARABIDOPSIS RAB GTPASE HOMOLOG A2B;ATRABA2B:RAB GTPase homolog A2B;RAB-A2B:RAB GTPASE HOMOLOG A2B;RABA2b:RAB GTPase homolog A2B
AT1G07420	AT1G07420:SMO2-2	ATSMO1:Arabidopsis thaliana sterol 4-alpha-methyl oxidase 1;SMO2-1:sterol 4-alpha-methyl-oxidase 2-1
AT1G07430	AT1G07430:AIP1	AIP1:AKT1 interacting protein phosphatase 1;AtAIP1;HAI2:highly ABA-induced PP2C gene 2;HON:HONSU (Korean for abnormal drowsiness)
AT1G07440	AT1G07440	NA
AT1G07450	AT1G07450	NA
AT1G07460	AT1G07460	NA
AT1G07470	AT1G07470	NA
AT1G07473	AT1G07473	NA
AT1G07476	AT1G07476	NA
AT1G07480	AT1G07480	NA
AT1G07485	AT1G07485	NA
AT1G07490	AT1G07490:RTFL3	DVL9:DEVIL 9;RTFL3:ROTUNDIFOLIA like 3
AT1G07500	AT1G07500	NA
AT1G07510	AT1G07510:FTSH10	ftsh10:FTSH protease 10
AT1G07520	AT1G07520:SCL31	NA
AT1G07530	AT1G07530:SCL14	ATGRAS2:ARABIDOPSIS THALIANA GRAS (GAI, RGA, SCR) 2;GRAS2:GRAS (GAI, RGA, SCR) 2;SCL14:SCARECROW-like 14
AT1G07540	AT1G07540:TRP5	TRFL2:TRF-like 2
AT1G07550	AT1G07550	NA
AT1G07560	AT1G07560	NA
AT1G07570	AT1G07570:APK1A	APK1;APK1A
AT1G07590	AT1G07590	NA
AT1G07600	AT1G07600:MT1A	ATMT-2:METALLOTHIONEIN 2;ATMT-Q;ATMT1:ARABIDOPSIS METALLOTHIONEIN 1;LSR4:LIGHT STRESS-REGULATED 4;MT-Q:METALLOTHIONEIN Q;MT1:METALLOTHIONEIN 1;MT1A:metallothionein 1A
AT1G07610	AT1G07610:MT1C	MT1C:metallothionein 1C
AT1G07615	AT1G07615:ATOBGM	NA
AT1G07620	AT1G07620:TRM32	ATOBGM;TRM32:TON1 Recruiting Motif 32
AT1G07630	AT1G07630:PLL5	PLL5:pol-like 5
AT1G07640	AT1G07640:DOF1.1	OBP2;URP3:UAS-TAGGED ROOT PATTERNING3
AT1G07650	AT1G07650	NA
AT1G07645	AT1G07645:ATDSI-1VOC	ATDSI-1VOC:dessication-induced 1VOC superfamily protein;DSI-1VOC:dessication-induced 1VOC superfamily protein
AT1G07660	AT1G07660	NA
AT1G07670	AT1G07670:ECA4	ATECA4;ECA4:endomembrane-type CA-ATPase 4
AT1G07680	AT1G07680	NA
AT1G07690	AT1G07690	NA
AT1G07700	AT1G07700	NA
AT1G07705	AT1G07705	NOT2a:Negative on TATA less2a
AT1G07710	AT1G07710	NA
AT1G07720	AT1G07720:KCS3	KCS3:3-ketoacyl-CoA synthase 3
AT1G07725	AT1G07725:ATEXO70H6	ATEXO70H6:exocyst subunit exo70 family protein H6;EXO70H6:exocyst subunit exo70 family protein H6
AT1G07740	AT1G07740	NA
AT1G07730	AT1G07730:DIR25	NA
AT1G07745	AT1G07745:RAD51D	ATRAD51D;RAD51D:homolog of RAD51 D;SSN1:SUPPRESOR OF SNI1
AT1G07747	AT1G07747	NA
AT1G07750	AT1G07750	NA
AT1G07770	AT1G07770:RPS15AA	RPS15A:ribosomal protein S15A
AT1G07780	AT1G07780:PAI1	PAI1:phosphoribosylanthranilate isomerase 1;TRP6:TRANSIENT RECEPTOR POTENTIAL 6
AT1G07790	AT1G07790:HTB1	HTB1
AT1G07795	AT1G07795	NA
AT1G07810	AT1G07810:ECA1	ACA3;ATECA1:ARABIDOPSIS THALIANA ER-TYPE CA2+-ATPASE 1;ECA1:ER-type Ca2+-ATPase 1
AT1G07820	AT1G07820	NA
AT1G07830	AT1G07830	NA
AT1G07840	AT1G07840	NA
AT1G07850	AT1G07850	NA
AT1G07870	AT1G07870	NA
AT1G07860	AT1G07860	NA
AT1G07880	AT1G07880:MPK13	ATMPK13
AT1G07885	AT1G07885	NA
AT1G07890	AT1G07890:APX1	APX1:ascorbate peroxidase 1;ATAPX01;ATAPX1;CS1;MEE6:maternal effect embryo arrest 6
AT1G07900	AT1G07900:LBD1	LBD1:LOB domain-containing protein 1
AT1G07901	AT1G07901	NA
AT1G07910	AT1G07910:ATRNL	AtRLG1:AtRLG1;ATRNL:ARABIDOPSIS THALIANA RNA LIGASE;RNL:RNAligase
AT1G07920	AT1G07920:A3	NA
AT1G07930	AT1G07930:A3	NA
AT1G07940	AT1G07940:A3	NA
AT1G07950	AT1G07950:MED22B	MED22B
AT1G07960	AT1G07960:PDIL5-1	ATPDIL5-1:PDI-like 5-1;PDIL5-1:PDI-like 5-1
AT1G07970	AT1G07970	NA
AT1G07980	AT1G07980:NF-YC10	"NF-YC10:""nuclear factor Y, subunit C10"""
AT1G07985	AT1G07985	NA
AT1G07990	AT1G07990	NA
AT1G08000	AT1G08000:GATA10	GATA10:GATA transcription factor 10
AT1G08005	AT1G08005	NA
AT1G08010	AT1G08010:GATA11	GATA11:GATA transcription factor 11
AT1G08030	AT1G08030:TPST	AQC1:active quiescent center1;TPST:tyrosylprotein sulfotransferase
AT1G08032	AT1G08032	NA
AT1G08035	AT1G08035	NA
AT1G08040	AT1G08040	NA
AT1G08050	AT1G08050	NA
AT1G08060	AT1G08060:MOM1	MOM:MAINTENANCE OF METHYLATION;MOM:MORPHEUS MOLECULE;MOM1:MORPHEUS MOLECULE 1
AT1G08065	AT1G08065:ACA5	ACA5:alpha carbonic anhydrase 5;ATACA5:ALPHA CARBONIC ANHYDRASE 5
AT1G08070	AT1G08070:PCMP-H12	EMB3102:EMBRYO DEFECTIVE 3102;OTP82:ORGANELLE TRANSCRIPT PROCESSING 82
AT1G08080	AT1G08080:ACA7	ACA7:alpha carbonic anhydrase 7;ATACA7:A. THALIANA ALPHA CARBONIC ANHYDRASE 7
AT1G08090	AT1G08090:NRT2.1	ACH1;ATNRT2.1:NITRATE TRANSPORTER 2.1;ATNRT2:1:nitrate transporter 2:1;LIN1:LATERAL ROOT INITIATION 1;NRT2:NITRATE TRANSPORTER 2;NRT2.1:NITRATE TRANSPORTER 2.1;NRT2:1:nitrate transporter 2:1;NRT2;1AT
AT1G08100	AT1G08100:NRT2.2	ACH2;ATNRT2.2:NITRATE TRANSPORTER 2.2;NRT2.2:nitrate transporter 2.2;NRT2;2AT
AT1G08110	AT1G08110	NA
AT1G08120	AT1G08120	NA
AT1G08125	AT1G08125	NA
AT1G08130	AT1G08130:LIG1	ATLIG1:DNA ligase 1;LIG1:DNA ligase 1
AT1G08135	AT1G08135:CHX6B	ATCHX6B;CHX6B:cation/H+ exchanger 6B
AT1G08140	AT1G08140:CHX6A	ATCHX6A:cation/H+ exchanger 6A;CHX6A:cation/H+ exchanger 6A
AT1G08150	AT1G08150:CHX5	ATCHX5;CHX5:CATION/H+ EXCHANGER 5
AT1G08160	AT1G08160	NA
AT1G08165	AT1G08165	NA
AT1G08170	AT1G08170	NA
AT1G08180	AT1G08180:SMR2	NA
